Instruction: Order Peppy paneer and a big party special combo from Dominos.
Observation: Search Bar
Thought: I need to first pull up menu of Dominos
Action: SEARCH DOMINO'S
Observation: 
------Begin search results for DOMINO'S--------
<0>,Domino's Pizza
<1>,The Dugout
<2>,Pizza Huts Shop
<3>,The Park
<4>,Sandwich Xpress
<5>,Gusto Pizza
<6>,Pizza Factory
<7>,Ya Burger
<8>,The Pizza Palace
<9>,The Burger Factory by DON GIOVANNIS
<10>,Don Giovanni's
<11>,Gusto Cafe & Kitchen
<12>,Mozza
<13>,LEBANESE N MORE
<14>,Beef Feast
<15>,Gambit's Pizza
------End search results for DOMINO'S--------
Thought: Domino's Pizza closely resembles my search term. It is at index 0. 
Action: CLICK 0
Observation: 
------Begin menu page for Domino's Pizza-------
<42>,Peppy Chicken Nuggets
<43>,Moroccan Spice Chicken Chunks
<44>,Cheesy Meatballs
<45>,Roasted Chicken Wings Classic Hot Sauce
<46>,Chicken Meatballs Peri-Peri Seasoning
<47>,Boneless Chicken Wings Peri-Peri
<48>,Chicken Meatballs Peri-Peri Sauce
<49>,Tomato Ketchup
<50>,Paneer Tikka Stuffed Garlic Bread
<51>,Chicken Pepperoni Stuffed Garlic Bread
<52>,Garlic Breadsticks
<53>,Cheesy Jalapeno Dip
<54>,Cheesy Dip
<55>,Choco Lava Cake
<56>,Classic Stuffed Garlic Bread
<57>,Taco Mexicana Veg
<58>,Chicken Parcel
<59>,Burger Pizza - Classic Veg
<60>,Burger Pizza - Premium Veg
<61>,Burger Pizza - Classic Non Veg
<62>,Creamy Tomato Pasta Veg
<63>,Tikka Masala Pasta Veg
<64>,Moroccan Spice Pasta Veg
<65>,Creamy Tomato Pasta Non Veg
<66>,Tikka Masala Pasta Non Veg
<67>,Moroccan Spice Pasta Non Veg
<68>,Taco Mexicana Veg (Single)
<69>,Basil Pesto Dip
<70>,Harissa Dip
<71>,Pepsi 475ml
<72>,Mirinda 475ml
<73>,Pepsi Black Can 300ml
<74>,7Up 475ml
<75>,Bailley One (500ml)
<76>,Lipton Ice Tea ( 350 ml)
<77>,B Natural Alphonsos from Ratnagiri (300 ml)
<78>,B Natural Mixed Fruit from Himalayas (300 ml)
<79>,Nagpur Orange
<80>,Butterscotch Mousse Cake
<81>,Red Velvet Lava Cake
<82>,Brownie Fantasy
<96>,Meal for 2: Veg Extravaganza & Peppy Paneer
<97>,Meal for 2: Fresh Veggie & Peppy Paneer
<98>,Meal for 2: Farmhouse & Corn n Cheese
<99>,Meal for 2: Chicken Dominator & Chicken Golden Delight
<100>,Meal for 2: Paneer Paratha & Corn Paratha Pizza
<101>,Meal for 2: Moroccan Pasta Pizza & Corn and Cheese
